"ID","AI_REASON","AMOUNT","CATEGORY","DESCRIPTION","RISK_SCORE","STATUS","TIMESTAMP","USER_ID"
"1","New user with significant amount; High-risk category (Cyber)","7010.0","Cyber","Crypto Exchange","0.8999999999999999","REJECTED","2026-05-04 13:20:27.552437","99"
"2","New user with significant amount; High-risk category (Cyber)","7738.0","Cyber","VPN Service","0.8999999999999999","REJECTED","2026-05-04 13:40:27.673485","25"
"3","Standard transaction","384.0","Shopping","IKEA Furniture","0.0","CONFIRMED","2026-05-04 14:00:27.680004","87"
"4","Standard transaction","37.0","Beauty","Fragrance Store","0.0","CONFIRMED","2026-05-04 14:20:27.684033","22"
"5","Standard transaction","19.0","Health","Doctor Visit","0.0","CONFIRMED","2026-05-04 14:40:27.688353","75"
"6","Standard transaction","20.0","Transport","Parking Fee","0.0","CONFIRMED","2026-05-04 15:00:27.69239","38"
"7","Standard transaction","101.0","Beauty","Lush Cosmetics","0.0","CONFIRMED","2026-05-04 15:20:27.696875","18"
"8","Standard transaction","9.99","Subscriptions","HBO Max","0.0","CONFIRMED","2026-05-04 15:40:27.700881","96"
"9","New user with significant amount; High-risk category (Cyber)","6688.0","Cyber","Crypto Exchange","0.8999999999999999","REJECTED","2026-05-04 16:00:27.705389","6"
"10","Standard transaction","438.0","Travel","Travel Agency Package","0.0","CONFIRMED","2026-05-04 16:20:27.709402","70"
"11","New user with significant amount; High-risk category (Cyber)","8568.0","Cyber","DarkWeb Entry","0.8999999999999999","REJECTED","2026-05-04 16:40:27.714403","77"
"12","Standard transaction","131.0","Beauty","Spa Treatment","0.0","CONFIRMED","2026-05-04 17:00:27.719829","20"
"13","Anomaly amount","39.0","Transport","Parking Fee","0.5","REJECTED","2026-05-04 17:20:27.724948","96"
"14","Standard transaction","107.0","Beauty","Makeup Artist","0.0","CONFIRMED","2026-05-04 17:40:27.73715","1"
"15","Standard transaction","317.0","Utilities","Online Course Subscription","0.0","CONFIRMED","2026-05-04 18:00:27.742176","32"
"16","New user with significant amount; High-risk category (Cyber)","8098.0","Cyber","VPN Service","0.8999999999999999","REJECTED","2026-05-04 18:20:27.747472","42"
"17","Standard transaction","28.0","Transport","Car Wash","0.0","CONFIRMED","2026-05-04 18:40:27.752405","59"
"18","Standard transaction","212.0","Entertainment","Steam","0.0","CONFIRMED","2026-05-04 19:00:27.758017","76"
"19","Standard transaction","8.99","Subscriptions","Disney+","0.0","CONFIRMED","2026-05-04 19:20:27.763603","98"
"20","High Amount","264.0","Utilities","Cloud Storage (iCloud/Drive)","0.3","REJECTED","2026-05-04 19:40:27.769757","23"
"21","Standard transaction","29.0","Beauty","Lush Cosmetics","0.0","CONFIRMED","2026-05-04 20:00:27.77756","52"
"22","Standard transaction","914.0","Travel","Ryanair","0.0","CONFIRMED","2026-05-04 20:20:27.786241","66"
"23","Standard transaction","319.0","Clothes","Pull&Bear","0.0","CONFIRMED","2026-05-04 20:40:27.791913","2"
"24","Standard transaction","58.0","Transport","Public Transport Pass","0.0","CONFIRMED","2026-05-04 21:00:27.799057","93"
"25","Standard transaction","147.0","Entertainment","PlayStation Store","0.0","CONFIRMED","2026-05-04 21:20:27.803465","28"
"26","High amount","381.0","Shopping","Pet Shop Supplies","0.3","REJECTED","2026-05-04 21:40:27.810164","29"
"27","Unusual nighttime hour","147.0","Utilities","VPN Service","0.15","CONFIRMED","2026-05-04 22:00:27.818392","100"
"28","Anomaly amount; Unusual nighttime hour","593.0","Shopping","Office Supplies","0.65","REJECTED","2026-05-04 22:20:27.822901","22"
